152.3 40 45 55.0 1 111 50 58.0 -1 1372.0
153.3 39 18 44.38 1 109 22 24.02 -1 1356.75
154.3 37 51 33.77 1 106 53 50.04 -1 1341.51
155.3 36 24 23.16 1 104 25 16.06 -1 1326.26
156.3 34 57 12.55 1 101 56 42.08 -1 1311.02
157.3 33 30 1.94 1 99 28 8.11 -1 1295.77
158.3 32 2 51.33 1 96 59 34.13 -1 1280.53
159.3 30 35 40.72 1 94 31 0.15 -1 1265.28
160.3 29 8 30.11 1 92 2 26.17 -1 1250.04
161.3 27 41 19.5 1 89 33 52.2 -1 1234.8
162.3 26 14 8.88 1 87 5 18.22 -1 1219.55
163.3 24 46 58.27 1 84 36 44.24 -1 1204.31
164.3 23 19 47.66 1 82 8 10.26 -1 1189.06
165.3 21 52 37.05 1 79 39 36.28 -1 1173.82
166.3 20 25 26.44 1 77 11 2.31 -1 1158.57
167.3 18 58 15.83 1 74 42 28.33 -1 1143.33
168.3 17 31 5.22 1 72 13 54.35 -1 1128.08
169.3 16 3 54.61 1 69 45 20.37 -1 1112.84
170.3 14 36 44.0 1 67 16 46.4 -1 1097.6
171.3 13 9 33.38 1 64 48 12.42 -1 1082.35
172.3 11 42 22.77 1 62 19 38.44 -1 1067.11
173.3 10 15 12.16 1 59 51 4.46 -1 1051.86
174.3 8 48 1.55 1 57 22 30.48 -1 1036.62
175.3 7 20 50.94 1 54 53 56.51 -1 1021.37
176.3 5 53 40.33 1 52 25 22.53 -1 1006.13
177.3 4 26 29.72 1 49 56 48.55 -1 990.88
178.3 2 59 19.11 1 47 28 14.57 -1 975.64
179.3 1 32 8.5 1 44 59 40.6 -1 960.4
180.3 0 4 57.88 1 42 31 6.62 -1 945.15
181.3 1 22 12.72 -1 40 2 32.64 -1 929.91
182.3 2 49 23.33 -1 37 33 58.66 -1 914.66
183.3 4 16 33.94 -1 35 5 24.68 -1 899.42
184.3 5 43 44.55 -1 32 36 50.71 -1 884.17
185.3 7 10 55.16 -1 30 8 16.73 -1 868.93
186.3 8 38 5.77 -1 27 39 42.75 -1 853.68
187.3 10 5 16.38 -1 25 11 8.77 -1 838.44
188.3 11 32 27.0 -1 22 42 34.8 -1 823.2
189.3 12 59 37.61 -1 20 14 0.82 -1 807.95
190.3 14 26 48.22 -1 17 45 26.84 -1 792.71
191.3 15 53 58.83 -1 15 16 52.86 -1 777.46
192.3 17 21 9.44 -1 12 48 18.88 -1 762.22
193.3 18 48 20.05 -1 10 19 44.91 -1 746.97
194.3 20 15 30.66 -1 7 51 10.93 -1 731.73
195.3 21 42 41.27 -1 5 22 36.95 -1 716.48
196.3 23 9 51.88 -1 2 54 2.97 -1 701.24
197.3 24 37 2.5 -1 0 25 29.0 -1 686.0
198.3 26 4 13.11 -1 2 3 4.97 1 670.75
199.3 27 31 23.72 -1 4 31 38.95 1 655.51
200.3 28 58 34.33 -1 7 0 12.93 1 640.26
201.3 30 25 44.94 -1 9 28 46.91 1 625.02
202.3 31 52 55.55 -1 11 57 20.88 1 609.77
203.3 33 20 6.16 -1 14 25 54.86 1 594.53
204.3 34 47 16.77 -1 16 54 28.84 1 579.28
205.3 36 14 27.38 -1 19 23 2.82 1 564.04
206.3 37 41 38.0 -1 21 51 36.8 1 548.8
207.3 39 8 48.61 -1 24 20 10.77 1 533.55
208.3 40 35 59.22 -1 26 48 44.75 1 518.31
209.3 42 3 9.83 -1 29 17 18.73 1 503.06
210.3 43 30 20.44 -1 31 45 52.71 1 487.82
211.3 44 57 31.05 -1 34 14 26.68 1 472.57
212.3 46 24 41.66 -1 36 43 0.66 1 457.33
213.3 47 51 52.27 -1 39 11 34.64 1 442.08
214.3 49 19 2.88 -1 41 40 8.62 1 426.84
215.3 50 46 13.5 -1 44 8 42.6 1 411.6
216.3 52 13 24.11 -1 46 37 16.57 1 396.35
217.3 53 40 34.72 -1 49 5 50.55 1 381.11
218.3 55 7 45.33 -1 51 34 24.53 1 365.86
219.3 56 34 55.94 -1 54 2 58.51 1 350.62
220.3 58 2 6.55 -1 56 31 32.48 1 335.37
221.3 59 29 17.16 -1 59 0 6.46 1 320.13
222.3 60 56 27.77 -1 61 28 40.44 1 304.88
223.3 62 23 38.38 -1 63 57 14.42 1 289.64
224.3 63 50 49.0 -1 66 25 48.4 1 274.4
225.3 65 17 59.61 -1 68 54 22.37 1 259.15
226.3 66 45 10.22 -1 71 22 56.35 1 243.91
227.3 68 12 20.83 -1 73 51 30.33 1 228.66
228.3 69 39 31.44 -1 76 20 4.31 1 213.42
229.3 71 6 42.05 -1 78 48 38.28 1 198.17
230.3 72 33 52.66 -1 81 17 12.26 1 182.93
231.3 74 1 3.27 -1 83 45 46.24 1 167.68
232.3 75 28 13.88 -1 86 14 20.22 1 152.44
233.3 76 55 24.5 -1 88 42 54.2 1 137.2
234.3 78 22 35.11 -1 91 11 28.17 1 121.95
235.3 79 49 45.72 -1 93 40 2.15 1 106.71
236.3 81 16 56.33 -1 96 8 36.13 1 91.46
237.3 82 44 6.94 -1 98 37 10.11 1 76.22
238.3 84 11 17.55 -1 101 5 44.08 1 60.97
239.3 85 38 28.16 -1 103 34 18.06 1 45.73
240.3 87 5 38.77 -1 106 2 52.04 1 30.48
241.3 88 32 49.38 -1 108 31 26.02 1 15.24
242.3 90 0 0.0 -1 111 0 0.0 1 0.0
